split,step,n_exec,ok_rate,err_rate,unknown,timeout,traceback
train,1,385,0.413,0.587,0.5429,0.0104,0.0
train,2,356,0.3876,0.6124,0.5449,0.0028,0.0
train,3,360,0.4083,0.5917,0.5417,0.0056,0.0
train,4,360,0.4056,0.5944,0.5528,0.0028,0.0
train,5,300,0.3767,0.6233,0.5633,0.0,0.0
train,6,342,0.3947,0.6053,0.576,0.0,0.0
train,7,291,0.3608,0.6392,0.5567,0.0069,0.0
train,8,324,0.3642,0.6358,0.5617,0.0123,0.0
train,9,410,0.4171,0.5829,0.5122,0.0122,0.0
train,10,269,0.3717,0.6283,0.5651,0.0037,0.0
train,11,328,0.375,0.625,0.5915,0.0,0.0
train,12,300,0.3767,0.6233,0.5733,0.0033,0.0
train,13,326,0.3865,0.6135,0.5521,0.0061,0.0
train,14,301,0.3953,0.6047,0.5581,0.0066,0.0
train,15,312,0.3237,0.6763,0.6218,0.0,0.0
train,16,321,0.3832,0.6168,0.5576,0.0156,0.0
train,17,318,0.3868,0.6132,0.5597,0.0031,0.0
train,18,331,0.3746,0.6254,0.5589,0.0151,0.0
train,19,345,0.4029,0.5971,0.5391,0.0,0.0
train,20,335,0.4,0.6,0.5552,0.006,0.0
train,21,332,0.4006,0.5994,0.5602,0.0151,0.0
train,22,346,0.3988,0.6012,0.5665,0.0,0.0
train,23,321,0.3894,0.6106,0.567,0.0031,0.0
train,24,301,0.3787,0.6213,0.5748,0.0066,0.0
train,25,370,0.373,0.627,0.5784,0.0027,0.0
train,26,392,0.4133,0.5867,0.5459,0.0026,0.0
train,27,359,0.3315,0.6685,0.6212,0.0084,0.0
train,28,364,0.3929,0.6071,0.5577,0.0055,0.0
train,29,330,0.403,0.597,0.5606,0.0061,0.0
train,30,400,0.38,0.62,0.555,0.01,0.0
train,31,355,0.3718,0.6282,0.5606,0.0169,0.0
train,32,377,0.3873,0.6127,0.5544,0.0053,0.0
train,33,344,0.375,0.625,0.5552,0.0058,0.0
train,34,393,0.3969,0.6031,0.5369,0.0102,0.0
train,35,413,0.3729,0.6271,0.5521,0.0169,0.0
train,36,344,0.3488,0.6512,0.5988,0.0058,0.0
train,37,355,0.3803,0.6197,0.569,0.0056,0.0
train,38,451,0.4035,0.5965,0.5366,0.0155,0.0
train,39,375,0.432,0.568,0.5173,0.0027,0.0
train,40,333,0.3784,0.6216,0.5796,0.003,0.0
train,41,380,0.3763,0.6237,0.55,0.0158,0.0
train,42,339,0.3687,0.6313,0.5752,0.0088,0.0
train,43,425,0.3812,0.6188,0.5435,0.0094,0.0
train,44,345,0.3449,0.6551,0.5913,0.0029,0.0
train,45,371,0.3639,0.6361,0.5984,0.0027,0.0
train,46,359,0.3175,0.6825,0.6017,0.0056,0.0
train,47,373,0.3968,0.6032,0.5496,0.0027,0.0
train,48,382,0.3848,0.6152,0.5733,0.0052,0.0
train,49,373,0.3968,0.6032,0.5657,0.0027,0.0
train,50,374,0.3877,0.6123,0.5749,0.0,0.0
train,51,374,0.4144,0.5856,0.5508,0.008,0.0
train,52,358,0.3547,0.6453,0.5894,0.0112,0.0
train,53,318,0.3239,0.6761,0.6069,0.0126,0.0
train,54,330,0.3667,0.6333,0.5818,0.003,0.0
train,55,363,0.3691,0.6309,0.5675,0.0165,0.0
train,56,340,0.3735,0.6265,0.5765,0.0059,0.0
train,57,356,0.3624,0.6376,0.5927,0.0112,0.0
train,58,345,0.3536,0.6464,0.5855,0.0087,0.0
train,59,398,0.3518,0.6482,0.5905,0.0126,0.0
train,60,318,0.3836,0.6164,0.566,0.0031,0.0
train,61,373,0.3914,0.6086,0.571,0.008,0.0
train,62,366,0.3497,0.6503,0.5956,0.0164,0.0
train,63,388,0.3789,0.6211,0.5619,0.0232,0.0
train,64,413,0.3971,0.6029,0.5714,0.0097,0.0
train,65,384,0.3698,0.6302,0.5417,0.0156,0.0
train,66,334,0.3593,0.6407,0.5928,0.0,0.0
train,67,390,0.3564,0.6436,0.5692,0.0051,0.0
train,68,314,0.2962,0.7038,0.6529,0.0127,0.0
train,69,390,0.3385,0.6615,0.5897,0.0051,0.0
train,70,354,0.3785,0.6215,0.5819,0.0,0.0
