split,step,n_samples,code_rate,output_rate,avg_code_blocks,avg_len_chars
train,1,256,0.8398,0.7578,1.66,3696.3
train,2,256,0.7695,0.6914,1.531,3622.6
train,3,256,0.8125,0.7305,1.555,3703.1
train,4,256,0.7539,0.6914,1.559,3698.7
train,5,256,0.6875,0.6133,1.305,3568.4
train,6,256,0.7852,0.7031,1.504,3497.8
train,7,256,0.6758,0.5859,1.281,3715.6
train,8,256,0.7695,0.6641,1.465,3694.4
train,9,256,0.8281,0.7539,1.777,3858.3
train,10,256,0.668,0.5703,1.234,3726.4
train,11,256,0.7656,0.6758,1.41,3415.0
train,12,256,0.7344,0.6367,1.352,3330.6
train,13,256,0.7344,0.6602,1.465,3683.3
train,14,256,0.6797,0.5977,1.336,3757.4
train,15,256,0.7852,0.6602,1.445,3783.9
train,16,256,0.7617,0.668,1.422,3519.2
train,17,256,0.75,0.6367,1.457,3618.3
train,18,256,0.7734,0.6719,1.449,3464.8
train,19,256,0.7812,0.668,1.508,3910.3
train,20,256,0.7695,0.6641,1.477,3358.7
train,21,256,0.8047,0.6758,1.484,3588.3
train,22,256,0.7773,0.6914,1.523,3812.6
train,23,256,0.7812,0.6758,1.43,3353.7
train,24,256,0.7422,0.6133,1.383,3800.6
train,25,256,0.8945,0.7734,1.656,3674.3
train,26,256,0.8125,0.7852,1.625,3761.0
train,27,256,0.8398,0.7695,1.562,3908.2
train,28,256,0.832,0.7344,1.598,3830.4
train,29,256,0.8047,0.7031,1.488,3796.3
train,30,256,0.8906,0.8008,1.742,3825.7
train,31,256,0.8281,0.7461,1.609,3824.1
train,32,256,0.8594,0.7578,1.645,3773.5
train,33,256,0.8359,0.7148,1.551,3598.3
train,34,256,0.9023,0.7852,1.742,3780.5
train,35,256,0.9141,0.8359,1.82,3866.2
train,36,256,0.8086,0.7188,1.488,3652.6
train,37,256,0.8359,0.7188,1.582,3619.9
train,38,256,0.9531,0.8984,1.895,3575.9
train,39,256,0.8242,0.7227,1.625,3668.2
train,40,256,0.8125,0.7031,1.477,4040.6
train,41,256,0.832,0.7617,1.648,3632.9
train,42,256,0.8125,0.7344,1.48,3949.0
train,43,256,0.9531,0.8477,1.871,3952.0
train,44,256,0.8555,0.7617,1.559,3956.5
train,45,256,0.9062,0.8242,1.598,3790.4
train,46,256,0.9141,0.8086,1.617,3759.9
train,47,256,0.8594,0.7695,1.656,3969.0
train,48,256,0.8555,0.7656,1.668,3765.9
train,49,256,0.9062,0.7773,1.656,3395.3
train,50,256,0.9492,0.7891,1.727,3548.3
train,51,256,0.9102,0.7891,1.715,3659.8
train,52,256,0.8555,0.7656,1.57,3717.8
train,53,256,0.8359,0.7266,1.445,3848.4
train,54,256,0.8516,0.7148,1.52,3785.2
train,55,256,0.8984,0.7695,1.633,3627.0
train,56,256,0.9219,0.7539,1.562,3743.9
train,57,256,0.8828,0.75,1.574,3677.2
train,58,256,0.8906,0.75,1.543,3687.1
train,59,256,0.9453,0.8711,1.758,3576.8
train,60,256,0.8203,0.668,1.484,3724.0
train,61,256,0.9023,0.7969,1.609,3545.3
train,62,256,0.8984,0.8008,1.621,3824.7
train,63,256,0.9141,0.8086,1.711,3734.1
train,64,256,0.9297,0.8516,1.738,3538.3
train,65,256,0.8984,0.7695,1.688,3967.6
train,66,256,0.8516,0.7422,1.527,3665.6
train,67,256,0.9336,0.8125,1.746,3748.6
train,68,256,0.8477,0.7227,1.434,3452.4
train,69,256,0.9414,0.8242,1.719,3719.3
train,70,256,0.9102,0.7695,1.625,3701.0
train,71,256,0.9297,0.7812,1.527,3331.3
train,72,256,0.9414,0.832,1.621,3376.1
train,73,256,0.918,0.7188,1.57,3501.3
train,74,256,0.8711,0.7695,1.59,3607.8
train,75,256,0.8828,0.7852,1.598,3606.4
train,76,256,0.8398,0.6875,1.465,3782.8
train,77,256,0.8906,0.7812,1.566,3364.2
train,78,256,0.918,0.8203,1.574,3403.6
train,79,256,0.8555,0.7266,1.426,3693.2
train,80,256,0.875,0.7461,1.5,3613.1
train,81,256,0.9062,0.7617,1.672,3574.1
train,82,256,0.9141,0.7617,1.547,3382.6
train,83,256,0.9297,0.8008,1.578,3481.1
train,84,256,0.9141,0.8086,1.73,3592.2
train,85,256,0.8711,0.7539,1.574,3495.4
train,86,256,0.918,0.8359,1.746,3613.1
train,87,256,0.8672,0.7812,1.492,3782.0
train,88,256,0.8945,0.6836,1.516,3614.6
train,89,256,0.832,0.6836,1.391,3643.1
train,90,256,0.9219,0.8516,1.621,3331.0
train,91,256,0.9297,0.8594,1.605,3357.9
train,92,256,0.9023,0.7852,1.531,3929.1
train,93,256,0.9219,0.7852,1.629,3605.7
train,94,256,0.9023,0.8047,1.562,3327.5
train,95,256,0.8945,0.793,1.539,3594.7
train,96,256,0.8906,0.7891,1.602,3588.6
train,97,256,0.9023,0.7812,1.48,3424.6
train,98,256,0.9062,0.7734,1.508,3149.6
train,99,256,0.918,0.7656,1.598,3490.3
train,100,256,0.8828,0.7812,1.43,3512.2
train,101,256,0.8984,0.7734,1.484,3447.9
train,102,256,0.9102,0.7656,1.484,3406.6
train,103,256,0.875,0.7109,1.469,3419.7
train,104,256,0.8984,0.7891,1.547,3425.2
train,105,256,0.9023,0.6953,1.445,3253.0
train,106,256,0.9414,0.8438,1.625,3288.1
train,107,256,0.8633,0.7383,1.359,3738.2
train,108,256,0.8984,0.75,1.406,3367.6
train,109,256,0.9219,0.793,1.406,3604.2
train,110,256,0.8984,0.7891,1.434,3444.5
train,111,256,0.8828,0.7383,1.461,3332.9
train,112,256,0.875,0.7305,1.41,3555.3
train,113,256,0.9141,0.7578,1.383,3313.7
train,114,256,0.8945,0.7617,1.398,3347.4
train,115,256,0.875,0.7344,1.359,3205.7
train,116,256,0.9023,0.7969,1.504,3271.0
train,117,256,0.8984,0.7773,1.496,3181.7
train,118,256,0.8672,0.7383,1.371,3515.9
train,119,256,0.8711,0.7461,1.5,3739.2
